url,,,,,,,,,filename,,Server,Error,Duration,Charset,Description
https://www.redlobster.com/docs/default-source/news-press-media-downloads/food-images.zip?sfvrsn=14,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.7,utf-8,
https://www.redlobster.com/docs/default-source/news-press-media-downloads/rl_restaurant.zip?sfvrsn=8,,,,,,,,,,,Microsoft-IIS/8.5,,00:02.6,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/grilledchicken_kidsentree_must_265_r2.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,grilledchicken_kidsentree_must_265_r2.jpg?sfvrsn=2,,,,00:01.6,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/roastedmainelobsterbake_grabs_088_r2.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,roastedmainelobsterbake_grabs_088_r2.jpg?sfvrsn=2,,,,00:01.6,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/woodgrilledchickensandwich_121_r2.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,woodgrilledchickensandwich_121_r2.jpg?sfvrsn=2,,,,00:01.7,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lighter-fare/m_mapleglazedchicken_1625.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lighter-fare,m_mapleglazedchicken_1625.jpg?sfvrsn=0,,,,00:02.0,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/m_mapleglazedchicken_1625.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,m_mapleglazedchicken_1625.jpg?sfvrsn=0,,,,00:03.0,utf-8,
https://www.redlobster.com/images/default-source/images/news-press/wood_grilled_shrimp_salmon_lobster.jpg?sfvrsn=0,https:,,www.redlobster.com,images,default-source,images,news-press,wood_grilled_shrimp_salmon_lobster.jpg?sfvrsn=0,wood_grilled_shrimp_salmon_lobster.jpg?sfvrsn=0,,,,00:02.0,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/4coursefeast.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,4coursefeast.jpg?sfvrsn=2,,,,00:02.6,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/sailors-platter.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,sailors-platter.jpg?sfvrsn=2,,,,00:01.7,utf-8,
https://www.redlobster.com/images/default-source/images/menu-items/lunch-dinner/crispy-shrimp-lettuce-wrap.jpg?sfvrsn=2,https:,,www.redlobster.com,images,default-source,images,menu-items,lunch-dinner,crispy-shrimp-lettuce-wrap.jpg?sfvrsn=2,,,,00:02.0,utf-8,
