url,,Status-Code,Status-Text,Type,Size,Title,Date,Level,name,type,,,extra,Links In,Server,Error,Duration,Charset,Description
https://www.redlobster.ca/,,200,ok,text/html,65200,Red Lobster Seafood Restaurants,,0,69,,,,,170,Microsoft-IIS/8.5,,00:00.2,utf-8,"Discover Red Lobster seafood restaurants, find locations, browse our menus and more."
https://fast.fonts.net/cssapi/a5551f80-f314-42dd-aee7-a96161ece458.css,,200,ok,text/css,1837,,21.04.2016  15:48:18,1,,,,,,170,ECS (ewr/1598),,00:00.5,utf-8,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/css/app.31578c6c.css,,200,ok,text/css,311905,,03.03.2017  21:18:36,1,66,,,,,170,,,00:00.1,,
https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.js,,200,ok,application/javascript,,,22.06.2016  20:06:45,1,,,,,,170,cloudflare-nginx,,00:00.6,utf-8,
https://www.redlobster.ca/favicon.ico,,200,ok,image/x-icon,22382,,30.04.2016  23:29:32,1,,,,,,170,,,00:00.1,utf-8,
https://www.redlobster.ca/ScriptResource.axd?d=w4oQKniAQQZyqPYYHf8ha_1vesmB3B_Ul2bLc9rlp5NCCjyTd9qmW_YuVMAM4EN5jxn3aAGJkp2ayuVt5WTxqOMfqUDkIdQi56zxwT2FPawuM2XgmhynPgleELiQY_6_CAxNjo59r7TlpfOzsMnos048CiGXJSUAoxoC1pHKpwUeb9-TQU8RsdMNxrqKSgV1qTtZLA2&t=37b841b5,,200,ok,application/x-javascript,95931,,07.03.2017  09:02:19,1,,,,,,170,,,00:00.1,utf-8,
https://www.redlobster.ca/ScriptResource.axd?d=mP9YPmjxrtPyaHBIKo1rK06MPC0tSEHLEr4bAGnDByB6tTUh_N6WYliRrX1ybXkGj7NOr9vO8ReBwzHZAXt-N2XxRDeyIu26Qpv6ZS08eWqevug58TvtOcuoZ8alzFZ2h8WeW6qZxWY-GKTUBBtao5avhRhpf-DTq3RWzTIlypoWdtK4dStYZ7k2QFQz7av5nAmBxg2&t=37b841b5,,200,ok,application/x-javascript,7199,,07.03.2017  09:02:09,1,,,,,,170,,,00:00.2,utf-8,
https://www.redlobster.ca/ScriptResource.axd?d=MMKwwmCkK8GUjZyPC3Onu7VJmdYMNG8USiYEN2RL15wuGneTLZk9BDT3_I-s6ldg5pJdT_HavOAOgQ6gYq-5PXtiBFvoi1X5roZnWsxxB6DgOwq1mAzZWe2sSXG1U4XA4eLNyF3AohtxBREH7SEdnQ-F6-BJtvdQX5PrEm_mpwT77IjCD8hjDwdgqlHjSnnEK2TBOgpMI_eXFMJFiw1lcbuxpDU1&t=37b841b5,,200,ok,application/x-javascript,237802,,07.03.2017  09:03:00,1,,,,,,170,,,00:00.5,utf-8,
https://www.redlobster.ca/Frontend-Assembly/Telerik.Sitefinity.Frontend.Search/Mvc/Scripts/SearchBox/Search-box.js?package=RedLobster,,200,ok,application/javascript,6725,,19.07.2016  22:57:26,1,,,,,,170,Microsoft-IIS/8.5,,00:00.5,utf-8,
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/RL_Critter.svg,,200,ok,image/svg+xml,35115,Red Lobster Home,30.04.2016  23:29:32,1,,,,,,170,,,00:00.5,utf-8,
javascript:void(2),,-3,skip type,,,"             <span aria-hidden="true" data-bind="css: { 'fa-map-marker': !isWorking(), 'fa-refresh': isWorking(), 'animation-spin': isWorking() }" class="fa loc-marker"></span>             <span id="user-location" data-bind="visible: $data" style="display""            <span aria-hidden="true" data-bind="css: { 'fa-map-marker': !isWorking(), 'fa-refresh': isWorking(), 'animation-spin': isWorking() }" class="fa loc-marker"></span>             <span id="user-location" data-bind=""           <span aria-hidden="true" data-bind="css: { 'fa-map-marker': !isWorking(), 'fa-refresh': isWorking(), 'animation-spin': isWorking() }" class="fa loc-marker"></span>             <span""          <span aria-hidden="true" data-bind="css: { 'fa-map-marker': !isWorking(), 'fa-refresh': isWorking(), 'animation-spin': isWorking() }" class="fa loc-mark""         <span aria-hidden="true" data-bind="css: { 'fa-map-marker': !isWorking(), 'fa-refresh': isWorking(), 'animation-spin': isWor""        <span aria-hidden="true" data-bind="css: { 'fa-map-marker': !isWorking(), 'fa-refresh': isWorking""       <span aria-hidden="true" data-bind="css: { 'fa-map-marker': !isWorking(""      <span aria-hidden="true" data-bind="css: { 'fa""     <span aria-hidden="tru""   ",,1,,,,,,170,,,00:00.0,utf-8,
javascript:void(3),,-3,skip type,,,"<i class="fa fa-map-marker"></i> Find a different red lobster""i class="fa fa-map-marker"></i> Find a different re"" class="fa fa-map-marker"></i> Find a diff""class="fa fa-map-marker"></i> Find""lass="fa fa-map-marker"></i""ass="fa fa-map-marker""ss="fa fa-map-ma""s="fa fa-map""="fa fa-m"""fa fa-""fa fa-",,1,,,,,,170,,,00:00.0,utf-8,
javascript:void(4),,-3,skip type,,,"<span class="fa fa-chevron-left"></span> Back to list""span class="fa fa-chevron-left"></span> ""pan class="fa fa-chevron-lef""an class="fa fa-c""n class",,1,,,,,,170,,,00:00.0,utf-8,
